year,rain_50m_pct,rain_ut_pct,totbal_50m_pct,totbal_ut_pct
2000,4.1272593,3.2614836,8.7665201,6.632971599999999
2001,4.6142696,3.1927599,7.1483151,3.5218556999999997
2002,1.6556676,0.5358195,2.8873083,0.5518941
2003,0.7220145,0.7523688,2.6562116000000002,1.2077499999999999
2004,1.8441961999999998,1.8719046,5.2466501,3.3912533000000002
2005,2.4598193,3.6729768000000003,9.016673,6.3277773999999996
2006,4.5532732,5.6246966,11.8015968,5.6246966
2007,4.7389176,6.2784222,11.3277657,11.12046
2008,4.8345024,7.1539996,8.292192700000001,7.1539996
2009,2.7282626,8.6887016,4.5827935,9.1267699
2010,1.6383172000000001,4.7286647,4.488299,4.0981761
2011,1.7610590999999998,4.9358865000000005,6.3684039,6.2139096
2012,2.4360494999999998,5.7326159,7.9075326,6.692880800000001
2013,3.5580711000000003,7.860653800000001,9.6392264,14.6407116
2014,4.5246132,7.9896335,7.2928364,10.5849685
2015,4.9183113,8.4967094,9.204277600000001,16.1517146
2016,5.3396705,7.817677400000001,9.7395795,10.4399524
2017,5.6136891,7.915958300000001,8.3156852,9.0972737
2018,6.5477341,8.5793988,11.7245839,13.2815978
2019,7.929661275870275,9.19767748746371,13.993789848403326,13.04829770387964
2020,8.4397036,10.138810900000001,12.711728899999999,14.300396000000001
2021,9.8900829,10.4264623,27.1255286,30.7437582
2022,11.642068,10.0051323,24.3686343,20.8488578
